,dt,LeadR,MidR,LagR,Lead,Mid,Lag,LL,LLStrong,mktrf,smb,hml,ALeadR,AMidR,ALagR,ALead,AMid,ALag,ALL,ALLStrong,dtt,ex_LL,ex_LLStrong,rf,_merge,ex_Lead,ex_Mid,ex_Lag
43,19750829,-0.04563107706959655,-0.02348943924857544,-0.014426385526820233,-0.041927373365892785,-0.019785735544871674,-0.010722681823116469,-0.031204691542776317,-0.021200501503453373,-2.85,-3.2,-0.9,-54.7572924835158,-28.18732709829048,-17.31166263218424,-50.31284803907125,-23.74288265384592,-12.86721818773968,-37.44562985133156,-25.44060180414396,197508,-37.44562985133156,-25.44060180414396,0.48,both,-56.072848039071246,-29.502882653845923,-18.62721818773968
44,19750930,-0.05935152304293418,-0.04331934365079723,-0.03585606065951745,-0.05197144924219627,-0.035939269850059324,-0.028475986858779546,-0.023495462383416727,-0.0007640414364612422,-4.26,-0.11,0.33,-71.22182765152093,-51.98321238095664,-43.02727279142088,-62.36573909063543,-43.127123820071155,-34.1711842305354,-28.19455486010004,-0.91684972375344,197509,-28.19455486010004,-0.91684972375344,0.53,both,-68.72573909063543,-49.487123820071155,-40.5311842305354
45,19751031,0.05780760549824582,0.0684390620048679,0.007691166420805655,0.06330211099275129,0.07393356749937338,0.01318567191531113,0.050116439077440164,0.07782710782219673,5.31,-3.99,0.29,69.36912659789496,82.12687440584149,9.22939970496672,75.96253319130145,88.72028099924796,15.82280629837332,60.139726892928124,93.39252938663604,197510,60.139726892928124,93.39252938663604,0.56,both,69.24253319130145,82.00028099924796,9.10280629837332
46,19751128,0.03659638610218856,0.030691080455845517,-0.00875110499464943,0.043882360601277745,0.037977054954934704,-0.001465130495560242,0.045347491096837986,0.06213911849371366,2.65,-1.2,1.99,43.9156633226262,36.8292965470146,-10.50132599357928,52.658832721533244,45.572465945921635,-1.75815659467224,54.41698931620549,74.56694219245632,197511,54.41698931620549,74.56694219245632,0.41,both,47.73883272153324,40.652465945921634,-6.67815659467224
47,19751231,-0.003927700472465002,-0.022386716867793078,0.0028102770449434343,0.0014972543195785216,-0.016961762075749554,0.008235231836986958,-0.0067379775174084364,-0.0038532748777647344,-1.6,-0.77,1.78,-4.713240566958,-26.864060241351602,3.37233245393208,1.7967051834941998,-20.3541144908994,9.882278204384281,-8.085573020890081,-4.62392985331764,197512,-8.085573020890081,-4.62392985331764,0.48,both,-3.9632948165058,-26.114114490899397,4.122278204384282
48,19760130,0.12481839658845148,0.1355316620236465,0.0922553781151002,0.12841551889060973,0.13912878432580475,0.09585250041725846,0.032563018473351274,0.032168457815966126,12.16,4.79,8.6,149.78207590614167,162.63799442837578,110.70645373812025,154.09862266873165,166.95454119096564,115.02300050071008,39.07562216802144,38.602149379159314,197601,39.07562216802144,38.602149379159314,0.47,both,148.45862266873166,161.31454119096566,109.38300050071008
49,19760227,0.007966279860686085,0.01005374073706558,-0.020531185932286828,0.009758394556026659,0.011845855432406155,-0.018739071236946254,0.028497465792972913,0.02908250606667785,0.32,7.01,5.85,9.5595358328232,12.0644888844786,-24.637423118744163,11.71007346723192,14.215026518887319,-22.48688548433544,34.19695895156748,34.899007280013365,197602,34.19695895156748,34.899007280013365,0.34,both,7.63007346723192,10.135026518887319,-26.566885484335437
50,19760331,0.035427861192139844,0.019633719236801097,0.04227335697342841,0.03721676995779292,0.02142262800245417,0.04406226573908149,-0.006845495781288569,-0.030212702715740926,2.33,-1.16,-0.02,42.51343343056776,23.5604630841612,50.728028368114074,44.66012394935148,25.70715360294492,52.874718886897675,-8.2145949375462,-36.25524325888908,197603,-8.2145949375462,-36.25524325888908,0.4,both,39.860123949351475,20.90715360294492,48.07471888689767
51,19760430,-0.01602272514740595,-0.015545882746727229,0.001977586363150805,-0.014237010861691672,-0.01376016846101295,0.0037633006488650843,-0.018000311510556758,-0.024904471129629624,-1.49,-0.07,-0.02,-19.22727017688708,-18.65505929607264,2.3731036357809603,-17.084413034029918,-16.51220215321548,4.515960778638,-21.60037381266804,-29.88536535555552,197604,-21.60037381266804,-29.88536535555552,0.42,both,-22.124413034029917,-21.55220215321548,-0.524039221362
52,19760528,-0.03117810990786286,-0.013618923693419294,-0.010113550464548673,-0.02583051632497514,-0.008271330110531572,-0.004765956881660951,-0.021064559443314188,-0.02886812584357208,-1.35,-1.25,-1.31,-37.41373188943536,-16.34270843210304,-12.13626055745832,-30.99661958997012,-9.925596132637798,-5.71914825799308,-25.27747133197692,-34.6417510122864,197605,-25.27747133197692,-34.6417510122864,0.37,both,-35.43661958997012,-14.365596132637798,-10.15914825799308
53,19760630,0.04500930498735143,0.03989632409632677,0.03679735943952884,0.05032845392352179,0.04521547303249713,0.0421165083756992,0.008211945547822591,-0.00026078814705835646,4.05,-1.38,0.73,54.01116598482169,47.87558891559204,44.15683132743455,60.39414470822604,54.258567638996524,50.53981005083904,9.854334657386998,-0.31294577646996,197606,9.854334657386998,-0.31294577646996,0.43,both,55.23414470822604,49.09856763899653,45.37981005083904
54,19760730,-0.011144672890501639,-0.011913657507174378,-0.01136644025802714,-0.005853667599496292,-0.006622652216169032,-0.006075434967021794,0.00022176736752550167,-0.011866788317228934,-1.07,0.3,1.73,-13.373607468601922,-14.296389008609161,-13.63972830963252,-7.02440111939544,-7.9471826594028006,-7.29052196042604,0.2661208410306,-14.240145980674681,197607,0.2661208410306,-14.240145980674681,0.47,both,-12.664401119395439,-13.5871826594028,-12.93052196042604
55,19760831,-0.007239889459832522,-0.010297425209216275,0.0059306429484137745,-0.0019767315650956636,-0.005034267314479418,0.011193800843150633,-0.013170532408246297,-0.0012921248634406915,-0.56,-2.0,0.77,-8.687867351799,-12.35691025105944,7.116771538096439,-2.37207787811472,-6.041120777375281,13.43256101178072,-15.80463888989544,-1.5505498361287202,197608,-15.80463888989544,-1.5505498361287202,0.42,both,-7.4120778781147205,-11.081120777375281,8.392561011780721
56,19760930,0.01927322750271287,0.023615417682119486,0.009977171486680241,0.024508829596953878,0.028851019776360495,0.015212773580921251,0.009296056016032627,0.004452676800816242,2.06,0.0,-0.28,23.12787300325536,28.33850121854328,11.97260578401624,29.41059551634456,34.62122373163248,18.255328297105443,11.15526721923912,5.34321216097944,197609,11.15526721923912,5.34321216097944,0.44,both,24.13059551634456,29.341223731632482,12.975328297105442
