,dt,const,LeadR,MidR,LagR,Lead,ex_Lead,Mid,ex_Mid,Lag,ex_Lag,LL,ex_LL,LLStrong,ex_LLStrong,mktrf,smb,hml,rf
56,19760930,1,0.01927322750271287,0.023615417682119486,0.009977171486680241,29.41059551634456,24.13059551634456,34.62122373163248,29.341223731632482,18.255328297105443,12.975328297105442,11.15526721923912,11.15526721923912,5.34321216097944,5.34321216097944,2.06,0,-0.28,0.44
57,19761029,1,-0.028341129430792027,-0.02290608551251978,-0.04009130661894008,-27.75935531695044,-32.67935531695044,-21.2373026150238,-26.157302615023802,-41.85956794272816,-46.779567942728164,14.1002126257776,14.1002126257776,11.800591266810482,11.800591266810482,-2.42,0.25,-0.13,0.41
58,19761130,1,0.006228435798020583,-0.0007278898894609621,0.0195273667345813,11.6192006778318,6.8192006778318,3.271609852854,-1.5283901471460006,27.577917801704636,22.777917801704636,-15.95871712387284,-15.95871712387284,-12.45382661831244,-12.45382661831244,0.36,2.35,1.52,0.4
59,19761231,1,0.0655410491962821,0.061228543323535584,0.03285752899692534,84.84547246066764,80.04547246066764,79.67046541337173,74.87046541337173,45.625248221439485,40.82524822143948,39.22022423922804,39.22022423922804,24.96074088553356,24.96074088553356,5.65,3,2.23,0.4
60,19770131,1,-0.03559657709674333,-0.044200581659407066,-0.056551512971010826,-36.55150895444796,-40.87150895444796,-46.876314429644516,-51.19631442964452,-61.69743200356896,-66.01743200356896,25.145923049120878,25.145923049120878,61.56435506199433,61.56435506199433,-4.05,4.78,4.26,0.36
61,19770228,1,-0.033496849721803626,-0.023955987759761307,-0.01924248572242325,-27.93046157417112,-32.13046157417112,-16.48142721972036,-20.68142721972036,-10.825224774914641,-15.02522477491464,-17.10523679925636,-17.10523679925636,-27.70694530189608,-27.70694530189608,-1.95,1.1,0.48,0.35
62,19770331,1,-0.027716294537692334,-0.013281581180898585,-0.006828473884837426,-27.18872713831656,-31.74872713831656,-9.86707111016412,-14.427071110164121,-2.12334235489068,-6.68334235489068,-25.06538478342588,-25.06538478342588,-5.95391172028284,-5.95391172028284,-1.37,1,1.04,0.38
63,19770429,1,0.017190643222171283,0.0007531489740233528,-0.029562181944814386,28.682463141773162,24.12246314177316,8.95747004399556,4.397470043995559,-27.42092705860956,-31.98092705860956,56.10339020038272,56.10339020038272,75.20246210268024,75.20246210268024,0.15,-0.11,3.45,0.38
64,19770531,1,-0.010206593764463574,-0.01466517603219328,-0.02122080588965039,-8.24791251735612,-12.68791251735612,-13.59821123863176,-18.03821123863176,-21.464967067580282,-25.90496706758028,13.21705455022416,13.21705455022416,16.82894301273,16.82894301273,-1.46,1.2,0.83,0.37
65,19770630,1,0.0488829745393886,0.04298598138443759,0.059424104546162676,64.639635892449,59.839635892448996,57.563244106507796,52.7632441065078,77.28899190057781,72.48899190057782,-12.649356008128802,-12.649356008128802,-19.81809008460696,-19.81809008460696,4.71,2.13,-0.64,0.4
66,19770729,1,-0.010662287082364458,-0.02198812729611733,-0.019932381845656773,-6.844331275696919,-11.884331275696919,-20.4353395322004,-25.475339532200397,-17.9684449916478,-23.0084449916478,11.124113715950761,11.124113715950761,19.94466038580108,19.94466038580108,-1.69,2.13,-0.61,0.42
67,19770831,1,0.0061582025701474325,-0.029631574917169307,0.004497218217596242,13.31089571575596,8.03089571575596,-29.636837269023964,-34.916837269023965,11.31771449269452,6.03771449269452,1.99318122306132,1.99318122306132,-23.32741850530344,-23.32741850530344,-1.75,1.51,-2.79,0.44
68,19770930,1,-0.00024373485590665307,0.0006464700197651111,-0.012596896779058923,3.63550507962216,-1.52449492037784,4.7037509304283205,-0.45624906957167966,-11.188289228160361,-16.34828922816036,14.82379430778264,14.82379430778264,26.798498133965758,26.798498133965758,-0.27,1.44,-0.51,0.43
69,19771031,1,-0.04324896736179283,-0.0505189164101907,-0.031119141882130975,-46.02600390103536,-51.90600390103536,-54.74994275911271,-60.629942759112716,-31.470213325441083,-37.35021332544108,-14.55579057559416,-14.55579057559416,-12.692896123260361,-12.692896123260361,-4.38,1.26,1.71,0.49
70,19771130,1,0.03720912973311673,0.03472536672987469,0.04442989634130662,52.44316347194784,46.44316347194784,49.46264786805744,43.46264786805744,61.108083401775716,55.108083401775716,-8.664919929827759,-8.664919929827759,-11.84285343973488,-11.84285343973488,4,3.69,0.35,0.5
71,19771230,1,0.008167973218719184,-0.005576929920009431,0.007050127649587248,15.6080194753662,9.7280194753662,-0.8858642911079999,-6.765864291108,14.26660479240792,8.386604792407919,1.34141468295828,1.34141468295828,-14.766608068751403,-14.766608068751403,0.27,1.34,-0.34,0.49
72,19780131,1,-0.05877509792881915,-0.06133744031799363,-0.06113258978814497,-62.825462618916596,-68.7054626189166,-65.900273485926,-71.78027348592599,-65.65445285010756,-71.53445285010756,2.8289902311909603,2.8289902311909603,5.24066361332076,5.24066361332076,-6.01,2.22,3.29,0.49
73,19780228,1,-0.028245077198475077,-0.013407425625489964,-0.009451975549680549,-28.152465843911763,-33.672465843911766,-10.347283956329639,-15.86728395632964,-5.60074386535836,-11.12074386535836,-22.551721978553402,-22.551721978553402,-28.160289684854757,-28.160289684854757,-1.38,3.57,0.8,0.46
74,19780331,1,0.036166612396892305,0.02747233516835218,0.020059374061883763,51.01898249531832,44.65898249531832,40.5858498210702,34.2258498210702,31.690296493308,25.330296493308,19.328686002010198,19.328686002010198,20.3582905742778,20.3582905742778,2.85,3.44,1.25,0.53
75,19780428,1,0.07579556946887576,0.06843125660370179,0.09363597940666474,100.4184057601272,93.9384057601272,91.58123032191841,85.10123032191841,121.82689768547388,115.34689768547388,-21.408491925346677,-21.408491925346677,-15.340954430040721,-15.340954430040721,7.88,0.39,-3.47,0.54
76,19780531,1,0.02262102321196842,0.004962838205126869,0.018359336848883537,38.412833488164715,32.29283348816472,17.22301147995492,11.103011479954919,33.29880985246284,27.178809852462837,5.11402363570176,5.11402363570176,-26.18892297036432,-26.18892297036432,1.76,4.59,-0.6,0.51
77,19780630,1,-0.02688909574319146,-0.016404097144433524,-0.014777114590560754,-22.96458931043436,-29.44458931043436,-10.382590991924761,-16.862590991924762,-8.43021192727752,-14.91021192727752,-14.53437738315684,-14.53437738315684,-25.578231187298883,-25.578231187298883,-1.69,1.69,0.58,0.54
78,19780731,1,0.04708903488581597,0.04861153765916335,0.052009302631155385,65.73761109374831,59.017611093748314,67.5646144217652,60.8446144217652,71.64193238815561,64.92193238815561,-5.90432129440728,-5.90432129440728,-25.73304906539256,-25.73304906539256,5.11,0.27,-1.11,0.56
79,19780831,1,0.032478981961740594,0.02816287000323616,0.06146586057909724,46.303022628897835,39.58302262889784,41.12368827869256,34.40368827869256,81.08727696972589,74.36727696972589,-34.78425434082792,-34.78425434082792,-49.298255846099046,-49.298255846099046,3.75,5.09,-0.48,0.56
